configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1041,true,true,false,true,true,true,false,false,true,60,9,3590448,49.660,0.520,5.746
1042,true,true,false,true,true,true,false,true,true,40,5,3621315,33.200,0.448,3.801
1043,true,false,false,true,true,true,true,false,false,40,5,4881754,42.472,0.508,4.417
1044,true,false,false,true,true,true,true,true,false,20,1,4919424,30.524,0.404,2.891
1045,true,true,false,true,true,true,false,false,false,40,1,3598392,26.240,0.416,3.416
1046,true,false,false,true,true,true,true,false,false,40,1,4919424,30.720,0.348,2.862
1047,true,true,false,false,false,true,false,false,true,20,9,3054365,49.108,0.484,5.310
1048,true,true,false,true,true,true,false,false,false,40,9,3556803,49.032,0.540,5.571
1049,true,true,false,true,true,true,false,true,false,20,5,3563959,32.844,0.388,3.482
105,true,true,false,true,false,true,true,false,false,40,5,4790302,39.740,0.352,4.073
1050,true,true,false,false,false,true,false,false,true,20,5,3058038,37.140,0.452,4.040
